Student_Name,Marks,Grade_Point,Letter_Grade,Course_Hours
Student_301,51,1.885331354887466,A,20
Student_302,93,3.2424425948151145,D,45
Student_303,43,1.5269202113329199,D,18
Student_304,13,1.3964793932403508,B,18
Student_305,31,2.6182232769532634,F,36
Student_306,24,3.9144687436340195,C,17
Student_307,24,2.592557121108355,A,32
Student_308,68,3.7404609234450907,A,43
Student_309,57,3.4914178587021922,C,6
Student_310,17,1.770910253689787,E,8
Student_311,54,3.4740694376272216,E,48
Student_312,23,2.4455434896212234,A,26
Student_313,35,3.4194654813812995,C,3
Student_314,59,3.239678052151135,C,17
Student_315,31,2.016145761405659,D,41
Student_316,9,1.345509122349278,F,8
Student_317,56,3.8886798786066326,E,44
Student_318,70,1.4222710450176481,E,8
Student_319,12,3.8995006283882563,D,15
Student_320,6,3.5804217906964655,B,9
Student_321,83,3.1726501362265545,E,45
Student_322,69,3.9398267283457105,D,20
Student_323,1,3.901809241900097,C,15
Student_324,11,3.413762932061686,B,48
Student_325,96,2.097325148216699,A,43
Student_326,30,3.3720459057668126,C,25
Student_327,21,1.0417559653027035,B,31
Student_328,52,2.609716924807177,F,9
Student_329,62,2.364358083201624,D,36
Student_330,61,3.018485145621261,F,40
Student_331,27,3.0170223920530397,C,17
Student_332,51,2.753680274956498,F,40
Student_333,7,3.4672519036803227,B,26
Student_334,21,3.8208756753386623,A,24
Student_335,48,1.325038306597692,F,28
Student_336,0,1.7014657066347496,C,4
Student_337,49,1.075073948939447,C,40
Student_338,33,3.6527045356445567,E,5
Student_339,100,2.6842221467496366,F,25
Student_340,100,3.745767726229478,B,32
Student_341,58,1.66410160022197,B,47
Student_342,36,1.1896511234805862,E,17
Student_343,54,3.471566054171343,F,44
Student_344,89,3.728162915283676,D,23
Student_345,93,1.9065705235877508,D,29
Student_346,100,2.2248875673862383,E,31
Student_347,71,1.4193310375216632,C,20
Student_348,84,3.8387845986458387,A,37
Student_349,91,1.9130937530680157,D,0
Student_350,62,2.4778738569346177,F,46
